Treino,Exercicio,Series,Repeticoes,Peso (kg),Descanso (s),Observacoes
Treino A - Peito e Triceps,Supino reto,4,10,60,90,Aquecer antes com 20kg
Treino A - Peito e Triceps,Supino inclinado com halteres,3,12,20,60,
Treino A - Peito e Triceps,Crucifixo,3,15,12,60,Contrair no topo
Treino A - Peito e Triceps,Triceps testa,4,12,25,60,
Treino A - Peito e Triceps,Triceps corda,3,15,30,45,
Treino B - Costas e Biceps,Puxada frontal,4,10,50,90,
Treino B - Costas e Biceps,Remada curvada,4,10,40,90,
Treino B - Costas e Biceps,Remada unilateral,3,12,22,60,
Treino B - Costas e Biceps,Rosca direta,4,12,15,60,
Treino B - Costas e Biceps,Rosca martelo,3,12,12,60,
Treino C - Pernas,Agachamento livre,4,10,80,120,Manter core contraido
Treino C - Pernas,Leg press,4,12,150,90,
Treino C - Pernas,Cadeira extensora,3,15,40,60,
Treino C - Pernas,Mesa flexora,3,15,35,60,
Treino C - Pernas,Panturrilha em pe,4,20,50,45,
